weekStartDate,dayOfWeek,dayType,station,phase,slot,exerciseName,focus,isStatic,staticCondition
2025-11-16,Sunday,Kickboxing,1,1,A,CHEST PRESS,Upper,FALSE,
2025-11-16,Sunday,Kickboxing,1,1,B,INFINITY CIRCLES,Upper,FALSE,
2025-11-16,Sunday,Kickboxing,1,1,C,TWISTING BICEP CURLS,Upper,FALSE,
2025-11-16,Sunday,Kickboxing,1,2,A,FLYS,Upper,FALSE,
2025-11-16,Sunday,Kickboxing,1,2,B,UP KICKS,Upper,FALSE,
2025-11-16,Sunday,Kickboxing,1,2,C,HAMMER - NARROW SHOULDER PRESS,Upper,FALSE,
2025-11-16,Sunday,Kickboxing,2,,A,"1,2,3, R BODY KICK, FRONT KICK",Upper,FALSE,
2025-11-16,Sunday,Kickboxing,2,,B,"1,2, FRONT KICK, SUPERMAN ELBOW",Upper,FALSE,
2025-11-16,Sunday,Kickboxing,2,,C,RAPID SIDEKICKS,Upper,FALSE,
2025-11-16,Sunday,Kickboxing,3,,A,ATT/DEF,Upper,FALSE,
2025-11-16,Sunday,Kickboxing,3,,B,LIGHT SPARRING,Upper,FALSE,
2025-11-16,Sunday,Kickboxing,3,,C,HIP STRETCH,Upper,FALSE,
2025-11-16,Monday,Technique,1,1,A,ATT/DEF,Mixed,FALSE,
2025-11-16,Monday,Technique,1,1,B,ATT/DEF,Mixed,FALSE,
2025-11-16,Monday,Technique,1,1,C,ATT/DEF,Mixed,FALSE,
2025-11-16,Monday,Technique,1,2,A,ATTACK / DEFEND,Mixed,FALSE,
2025-11-16,Monday,Technique,1,2,B,ATTACK / DEFEND,Mixed,FALSE,
2025-11-16,Monday,Technique,1,2,C,"1,2,3 / DEFEND",Mixed,FALSE,
2025-11-16,Monday,Technique,2,,A,1 - 1 - 2B - 3 - 3B,Mixed,FALSE,
2025-11-16,Monday,Technique,2,,B,1 - 2 - LEAN BK - 4 - WEAVE L - 4,Mixed,FALSE,
2025-11-16,Monday,Technique,2,,C,"1-5 JAB PYRAMID, 4",Mixed,FALSE,
2025-11-16,Monday,Technique,3,,A,Nonstop sparring,Mixed,TRUE,technique-station3
2025-11-16,Monday,Technique,3,,B,Nonstop sparring,Mixed,TRUE,technique-station3
2025-11-16,Monday,Technique,3,,C,Nonstop sparring,Mixed,TRUE,technique-station3
2025-11-16,Tuesday,Boxing,1,1,A,OVERHEAD DB HOLD SQUAT,Upper,FALSE,
2025-11-16,Tuesday,Boxing,1,1,B,SINGLE LEG RAISE TO TOE TAP,Upper,FALSE,
2025-11-16,Tuesday,Boxing,1,1,C,R STEP SPLIT SQUAT SKIPS,Upper,FALSE,
2025-11-16,Tuesday,Boxing,1,2,A,ELEVATED SQUATS,Upper,FALSE,
2025-11-16,Tuesday,Boxing,1,2,B,DB SWINGS,Upper,FALSE,
2025-11-16,Tuesday,Boxing,1,2,C,L STEP SPLIT SQUAT SKIPS,Upper,FALSE,
2025-11-16,Tuesday,Boxing,2,,A,1 - 4B - 3 - 4 - 3B,Upper,FALSE,
2025-11-16,Tuesday,Boxing,2,,B,1 - 2 - SLIP R/L - 3 - WEAVE L - 3,Upper,FALSE,
2025-11-16,Tuesday,Boxing,2,,C,"WEAVE, 2X BODY, 2X HOOKS",Upper,FALSE,
2025-11-16,Tuesday,Boxing,3,,A,MIRRORING,Upper,FALSE,
2025-11-16,Tuesday,Boxing,3,,B,LIGHT SPARRING,Upper,FALSE,
2025-11-16,Tuesday,Boxing,3,,C,HAND TAPS,Upper,FALSE,
2025-11-16,Wednesday,Conditioning,1,1,A,SHUTTLE RUN,Lower,FALSE,
2025-11-16,Wednesday,Conditioning,1,1,B,THRUSTERS,Lower,FALSE,
2025-11-16,Wednesday,Conditioning,1,1,C,DEVIL PRESS,Lower,FALSE,
2025-11-16,Wednesday,Conditioning,3,,A,Nonstop sparring,Lower,TRUE,conditioning-station3
2025-11-16,Wednesday,Conditioning,3,,B,Nonstop sparring,Lower,TRUE,conditioning-station3
2025-11-16,Wednesday,Conditioning,3,,C,Nonstop sparring,Lower,TRUE,conditioning-station3
2025-11-16,Thursday,Kickboxing,1,1,A,CHEST PRESS,Mixed,FALSE,
2025-11-16,Thursday,Kickboxing,1,1,B,INFINITY CIRCLES,Mixed,FALSE,
2025-11-16,Thursday,Kickboxing,1,1,C,R STEP BACKWARD LUNGE-KNEE DRIVES,Mixed,FALSE,
2025-11-16,Thursday,Kickboxing,1,2,A,FLYS,Mixed,FALSE,
2025-11-16,Thursday,Kickboxing,1,2,B,STEP IN AND OUT,Mixed,FALSE,
2025-11-16,Thursday,Kickboxing,1,2,C,L STEP BACKWARD LUNGE-KNEE DRIVES,Mixed,FALSE,
2025-11-16,Thursday,Kickboxing,2,,A,"1,2, SWITCH KICK, KNEE",Mixed,FALSE,
2025-11-16,Thursday,Kickboxing,2,,B,"1,2, SPINNING KICK, R BODY KICK",Mixed,FALSE,
2025-11-16,Thursday,Kickboxing,2,,C,"FRONT KICK, KNEE",Mixed,FALSE,
2025-11-16,Thursday,Kickboxing,3,,A,ATT/DEF,Mixed,FALSE,
2025-11-16,Thursday,Kickboxing,3,,B,LIGHT SPARRING,Mixed,FALSE,
2025-11-16,Thursday,Kickboxing,3,,C,STEP IN/OUT PIVOT,Mixed,FALSE,
2025-11-16,Saturday,Technique,1,1,A,ATT/DEF,Lower,FALSE,
2025-11-16,Saturday,Technique,1,1,B,ATT/DEF,Lower,FALSE,
2025-11-16,Saturday,Technique,1,1,C,ATT/DEF,Lower,FALSE,
2025-11-16,Saturday,Technique,1,2,A,"1,2,3 / SLIP R/L, WEAVE R",Lower,FALSE,
2025-11-16,Saturday,Technique,1,2,B,"1,2,3,BLK / SLIP R/L, WEAVE R,4",Lower,FALSE,
2025-11-16,Saturday,Technique,1,2,C,"1,2,3,BLK / SLIP R/L, WEAVE R,4,3B",Lower,FALSE,
2025-11-16,Saturday,Technique,2,,A,1 - 4B - 3 - 4B - 3B - 4,Lower,FALSE,
2025-11-16,Saturday,Technique,2,,B,1 - 2 - R STEP/3 - WEAVE L - 3 - 4,Lower,FALSE,
2025-11-16,Saturday,Technique,2,,C,"10 SECS L BODY, R HOOK 10 SECS R BODY, L HOOK 10 SECS JAB, STRT, L BODY, R BODY",Lower,FALSE,
2025-11-16,Saturday,Technique,3,,A,Nonstop sparring,Lower,TRUE,technique-station3
2025-11-16,Saturday,Technique,3,,B,Nonstop sparring,Lower,TRUE,technique-station3
2025-11-16,Saturday,Technique,3,,C,Nonstop sparring,Lower,TRUE,technique-station3
